unknown,-1,0,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
6914,2023-11-01 14:46:15.600,GPS,178377432,0,3,283593600,2286,32,0.54,24.7759172,121.0425072,130.83,0.021,176.1152,0.021,0,1
7023,2023-11-01 14:46:15.800,GPS,178577441,0,3,283593800,2286,32,0.54,24.7759172,121.0425073,130.85,0.016,176.1152,0.021,0,1
7133,2023-11-01 14:46:16.000,GPS,178777402,0,3,283594000,2286,32,0.54,24.7759172,121.0425073,130.85,0.025,176.1152,-0.016,0,1
7241,2023-11-01 14:46:16.200,GPS,178977443,0,3,283594200,2286,32,0.54,24.7759172,121.0425074,130.85,0.013,176.1152,-0.054,0,1
7349,2023-11-01 14:46:16.400,GPS,179177406,0,3,283594400,2286,32,0.54,24.7759172,121.0425074,130.84,0.02,176.1152,0.017,0,1
7459,2023-11-01 14:46:16.600,GPS,179377390,0,3,283594600,2286,32,0.54,24.7759172,121.0425074,130.85,0.008,176.1152,-0.025,0,1
7568,2023-11-01 14:46:16.800,GPS,179577453,0,3,283594800,2286,32,0.54,24.7759172,121.0425074,130.84,0.044,176.1152,0.011,0,1
7678,2023-11-01 14:46:17.000,GPS,179777627,0,3,283595000,2286,32,0.54,24.7759173,121.0425074,130.85,0.006,176.1152,0.038,0,1
7788,2023-11-01 14:46:17.200,GPS,179977625,0,3,283595200,2286,32,0.54,24.7759173,121.0425074,130.85,0.011,176.1152,-0.003,0,1
7895,2023-11-01 14:46:17.400,GPS,180177672,0,3,283595400,2286,32,0.54,24.7759173,121.0425074,130.84,0.016,176.1152,0.032,0,1
8005,2023-11-01 14:46:17.600,GPS,180377603,0,3,283595600,2286,32,0.54,24.7759173,121.0425074,130.85,0.041,176.1152,0,0,1
8116,2023-11-01 14:46:17.800,GPS,180577433,0,3,283595800,2286,32,0.54,24.7759173,121.0425075,130.84,0.016,176.1152,0.036,0,1
8228,2023-11-01 14:46:18.000,GPS,180777402,0,3,283596000,2286,32,0.54,24.7759174,121.0425075,130.84,0.037,176.1152,-0.017,0,1
8338,2023-11-01 14:46:18.200,GPS,180977474,0,3,283596200,2286,32,0.54,24.7759173,121.0425076,130.83,0.004,176.1152,0.004,0,1
8447,2023-11-01 14:46:18.400,GPS,181177427,0,3,283596400,2286,32,0.54,24.7759173,121.0425076,130.83,0.009000001,176.1152,0.03,0,1
8557,2023-11-01 14:46:18.600,GPS,181377464,0,3,283596600,2286,32,0.54,24.7759174,121.0425077,130.83,0.031,176.1152,-0.035,0,1
8665,2023-11-01 14:46:18.800,GPS,181577453,0,3,283596800,2286,32,0.54,24.7759173,121.0425077,130.83,0.005,176.1152,-0.009000001,0,1
8775,2023-11-01 14:46:19.000,GPS,181777446,0,3,283597000,2286,32,0.54,24.7759173,121.0425078,130.82,0.013,176.1152,-0.008,0,1
8885,2023-11-01 14:46:19.200,GPS,181977457,0,3,283597200,2286,32,0.54,24.7759173,121.0425078,130.83,0.004,176.1152,0.007,0,1
8993,2023-11-01 14:46:19.400,GPS,182177427,0,3,283597400,2286,32,0.54,24.7759173,121.0425078,130.83,0.025,176.1152,-0.029,0,1
9102,2023-11-01 14:46:19.600,GPS,182377462,0,3,283597600,2286,32,0.54,24.7759173,121.0425078,130.83,0.021,176.1152,-0.04,0,1
9211,2023-11-01 14:46:19.800,GPS,182577455,0,3,283597800,2286,32,0.54,24.7759174,121.0425078,130.83,0.029,176.1152,-0.044,0,1
9323,2023-11-01 14:46:20.000,GPS,182777428,0,3,283598000,2286,32,0.54,24.7759174,121.0425078,130.83,0.02,176.1152,-0.017,0,1
9433,2023-11-01 14:46:20.200,GPS,182977432,0,3,283598200,2286,32,0.54,24.7759174,121.0425079,130.81,0.016,176.1152,-0.027,0,1
9541,2023-11-01 14:46:20.400,GPS,183177455,0,3,283598400,2286,32,0.54,24.7759174,121.0425079,130.82,0.004,176.1152,0.06900001,0,1
9651,2023-11-01 14:46:20.600,GPS,183377598,0,3,283598600,2286,32,0.54,24.7759174,121.0425079,130.82,0.012,176.1152,-0.033,0,1
9760,2023-11-01 14:46:20.800,GPS,183577655,0,3,283598800,2286,32,0.54,24.7759174,121.0425079,130.82,0.01,176.1152,-0.03,0,1
9870,2023-11-01 14:46:21.000,GPS,183777415,0,3,283599000,2286,32,0.54,24.7759174,121.0425079,130.82,0.015,176.1152,0.018,0,1
9979,2023-11-01 14:46:21.200,GPS,183977440,0,3,283599200,2286,32,0.54,24.7759174,121.0425079,130.82,0.007,176.1152,-0.044,0,1
10087,2023-11-01 14:46:21.400,GPS,184177414,0,3,283599400,2286,32,0.54,24.7759174,121.042508,130.81,0.008,176.1152,-0.027,0,1
10199,2023-11-01 14:46:21.600,GPS,184377390,0,3,283599600,2286,32,0.54,24.7759174,121.042508,130.82,0.012,176.1152,-0.032,0,1
10308,2023-11-01 14:46:21.800,GPS,184577624,0,3,283599800,2286,32,0.54,24.7759174,121.042508,130.83,0.019,176.1152,-0.032,0,1
10418,2023-11-01 14:46:22.000,GPS,184777344,0,3,283600000,2286,32,0.54,24.7759173,121.042508,130.83,0.004,176.1152,-0.027,0,1
10519,2023-11-01 14:46:22.200,GPS,184977428,0,3,283600200,2286,32,0.54,24.7759173,121.0425081,130.82,0.018,176.1152,0.01,0,1
10603,2023-11-01 14:46:22.400,GPS,185177359,0,3,283600400,2286,32,0.54,24.7759173,121.0425081,130.82,0.02,176.1152,0.011,0,1
10691,2023-11-01 14:46:22.600,GPS,185377364,0,3,283600600,2286,32,0.54,24.7759173,121.0425082,130.81,0.011,176.1152,-0.006,0,1
10777,2023-11-01 14:46:22.800,GPS,185577365,0,3,283600800,2286,32,0.54,24.7759173,121.0425082,130.81,0.014,176.1152,0.001,0,1
10864,2023-11-01 14:46:23.000,GPS,185777409,0,3,283601000,2286,32,0.54,24.7759173,121.0425082,130.81,0.002,176.1152,-0.007,0,1
10953,2023-11-01 14:46:23.200,GPS,185977668,0,3,283601200,2286,32,0.54,24.7759173,121.0425082,130.81,0.023,176.1152,-0.004,0,1
11039,2023-11-01 14:46:23.400,GPS,186177619,0,3,283601400,2286,32,0.54,24.7759173,121.0425082,130.8,0.016,176.1152,0.035,0,1
11128,2023-11-01 14:46:23.600,GPS,186377593,0,3,283601600,2286,32,0.54,24.7759173,121.0425082,130.8,0.007,176.1152,-0.009000001,0,1
11214,2023-11-01 14:46:23.800,GPS,186577622,0,3,283601800,2286,32,0.54,24.7759173,121.0425083,130.8,0.012,176.1152,-0.036,0,1
11301,2023-11-01 14:46:24.000,GPS,186777626,0,3,283602000,2286,32,0.54,24.7759173,121.0425083,130.79,0.025,176.1152,-0.045,0,1
11388,2023-11-01 14:46:24.200,GPS,186977377,0,3,283602200,2286,32,0.54,24.7759173,121.0425084,130.8,0.012,176.1152,-0.034,0,1
11472,2023-11-01 14:46:24.400,GPS,187177325,0,3,283602400,2286,32,0.54,24.7759173,121.0425084,130.8,0.009000001,176.1152,-0.066,0,1
11560,2023-11-01 14:46:24.600,GPS,187377326,0,3,283602600,2286,32,0.54,24.7759173,121.0425084,130.81,0.016,176.1152,-0.031,0,1
11646,2023-11-01 14:46:24.800,GPS,187577348,0,3,283602800,2286,32,0.54,24.7759173,121.0425084,130.82,0.014,176.1152,-0.037,0,1
11733,2023-11-01 14:46:25.000,GPS,187777332,0,3,283603000,2286,32,0.54,24.7759173,121.0425084,130.82,0.013,176.1152,0.015,0,1
11820,2023-11-01 14:46:25.200,GPS,187977350,0,3,283603200,2286,32,0.54,24.7759173,121.0425084,130.82,0.007,176.1152,-0.014,0,1
11904,2023-11-01 14:46:25.400,GPS,188177340,0,3,283603400,2286,32,0.54,24.7759172,121.0425084,130.82,0.028,176.1152,-0.061,0,1
11991,2023-11-01 14:46:25.600,GPS,188377321,0,3,283603600,2286,32,0.54,24.7759172,121.0425084,130.82,0.004,176.1152,-0.022,0,1
12078,2023-11-01 14:46:25.800,GPS,188577369,0,3,283603800,2286,32,0.54,24.7759172,121.0425084,130.81,0.01,176.1152,0.039,0,1
12165,2023-11-01 14:46:26.000,GPS,188777337,0,3,283604000,2286,32,0.54,24.7759171,121.0425085,130.81,0.015,176.1152,-0.021,0,1
12252,2023-11-01 14:46:26.200,GPS,188977387,0,3,283604200,2286,32,0.54,24.7759171,121.0425085,130.81,0.022,176.1152,-0.008,0,1
12336,2023-11-01 14:46:26.400,GPS,189177329,0,3,283604400,2286,32,0.54,24.7759171,121.0425085,130.83,0.02,176.1152,0.01,0,1
12423,2023-11-01 14:46:26.600,GPS,189377324,0,3,283604600,2286,32,0.54,24.775917,121.0425085,130.82,0.006,176.1152,-0.038,0,1
12510,2023-11-01 14:46:26.800,GPS,189577323,0,3,283604800,2286,32,0.54,24.775917,121.0425086,130.83,0.02,176.1152,0.023,0,1
12597,2023-11-01 14:46:27.000,GPS,189777336,0,3,283605000,2286,32,0.54,24.775917,121.0425086,130.82,0.018,176.1152,-0.053,0,1
12684,2023-11-01 14:46:27.200,GPS,189977370,0,3,283605200,2286,32,0.54,24.775917,121.0425086,130.83,0.008,176.1152,0.015,0,1
12768,2023-11-01 14:46:27.400,GPS,190177581,0,3,283605400,2286,32,0.54,24.775917,121.0425086,130.84,0.01,176.1152,-0.026,0,1
12855,2023-11-01 14:46:27.600,GPS,190377403,0,3,283605600,2286,32,0.54,24.775917,121.0425086,130.85,0.027,176.1152,-0.012,0,1
